domain,ipv4,ipv6,cname,status,checked_at
www.zanaco.co.zm,104.20.42.230,2606:4700:10::ac42:a20a,,OK,2025-12-13T13:29:27+02:00
www.zaqa.gov.zm,zaqa.gov.zm.,zaqa.gov.zm.,zaqa.gov.zm,OK,2025-12-13T13:29:28+02:00
www.zawa.org.zm,,,,NXDOMAIN,2025-12-13T13:29:28+02:00
www.zccm-ih.com.zm,91.108.96.95,,,OK,2025-12-13T13:29:29+02:00
www.zcsa.org.zm,196.46.215.182,,,OK,2025-12-13T13:29:29+02:00
www.zda.org.zm,192.185.87.120,,,OK,2025-12-13T13:29:30+02:00
www.zema.org.zm,102.23.122.159,,,OK,2025-12-13T13:29:31+02:00
www.zesco.co.zm,102.67.160.250,,,OK,2025-12-13T13:29:31+02:00
www.zica.co.zm,35.187.124.132,,,OK,2025-12-13T13:29:32+02:00
www.zicta.zm,196.13.104.250,,,OK,2025-12-13T13:29:33+02:00
www.znbc.co.zm,41.215.183.55,,,OK,2025-12-13T13:29:34+02:00
www.znbs.co.zm,znbs.co.zm.,znbs.co.zm.,znbs.co.zm,OK,2025-12-13T13:29:34+02:00
www.znphi.co.zm,102.23.123.177,,,OK,2025-12-13T13:29:35+02:00
www.zppa.org.zm,41.60.3.174,,,OK,2025-12-13T13:29:35+02:00
www.zpsc.gov.zm,174.136.29.222,,,OK,2025-12-13T13:29:36+02:00
www.zra.org.zm,196.223.29.10,,,OK,2025-12-13T13:29:36+02:00
www.zrl.com.zm,102.23.123.214,,,OK,2025-12-13T13:29:37+02:00
www.zsicgi.co.zm,196.46.215.142,,,OK,2025-12-13T13:29:38+02:00
www.zsiclife.co.zm,104.26.3.148,2606:4700:20::ac43:4607,,OK,2025-12-13T13:29:39+02:00
zabs.org.zm,193.26.156.33,,,OK,2025-12-13T13:29:39+02:00
zacl.co.zm,5.77.36.174,,,OK,2025-12-13T13:29:40+02:00
zaffico.co.zm,102.23.122.251,,,OK,2025-12-13T13:29:40+02:00
zambezira.org,139.84.238.34,,,OK,2025-12-13T13:29:41+02:00
zambiaimmigration.gov.zm,196.12.12.102,,,OK,2025-12-13T13:29:42+02:00
zambiapolice.gov.zm,162.241.127.226,,,OK,2025-12-13T13:29:43+02:00
zampass.gsb.gov.zm,165.56.40.86,,,OK,2025-12-13T13:29:44+02:00
zamportal.gov.zm,13.69.68.16,,,OK,2025-12-13T13:29:44+02:00
zamra.co.zm,192.185.87.120,,,OK,2025-12-13T13:29:45+02:00
zamstats.gov.zm,,,,NXDOMAIN,2025-12-13T13:29:46+02:00
zamtel.zm,165.56.48.30,,,OK,2025-12-13T13:29:46+02:00
zanaco.co.zm,,,,NXDOMAIN,2025-12-13T13:29:47+02:00
zanis.gov.zm,41.215.183.86,,,OK,2025-12-13T13:29:47+02:00
zaqa.gov.zm,108.167.183.249,,,OK,2025-12-13T13:29:48+02:00
zari.gov.zm,174.136.29.222,,,OK,2025-12-13T13:29:49+02:00
zawa.org.zm,,,,NXDOMAIN,2025-12-13T13:29:49+02:00
zccm-ih.com.zm,91.108.96.95,,,OK,2025-12-13T13:29:50+02:00
zcs.gov.zm,,,,NXDOMAIN,2025-12-13T13:29:51+02:00
zcsa.org.zm,196.46.215.182,,,OK,2025-12-13T13:29:51+02:00
zda.org.zm,192.185.87.120,,,OK,2025-12-13T13:29:52+02:00
zema.org.zm,102.23.122.159,,,OK,2025-12-13T13:29:53+02:00
zesco.co.zm,102.67.160.250,,,OK,2025-12-13T13:29:53+02:00
zica.co.zm,35.187.124.132,,,OK,2025-12-13T13:29:54+02:00
zicta.zm,196.13.104.250,,,OK,2025-12-13T13:29:54+02:00
znbc.co.zm,41.215.183.55,,,OK,2025-12-13T13:29:55+02:00
znbs.co.zm,165.56.48.28,,,OK,2025-12-13T13:29:55+02:00
znphi.co.zm,45.90.229.189,,,OK,2025-12-13T13:29:56+02:00
zppa.org.zm,41.60.3.174,,,OK,2025-12-13T13:29:57+02:00
zpsc.gov.zm,174.136.29.222,,,OK,2025-12-13T13:29:57+02:00
zra.org.zm,41.72.108.84,,,OK,2025-12-13T13:29:58+02:00
zrl.com.zm,102.23.123.214,,,OK,2025-12-13T13:29:59+02:00
zsicgi.co.zm,196.46.215.142,,,OK,2025-12-13T13:29:59+02:00
zsiclife.co.zm,104.26.2.148,2606:4700:20::ac43:4607,,OK,2025-12-13T13:30:00+02:00
zuct.ac.zm,,,,NXDOMAIN,2025-12-13T13:30:01+02:00
zwma.gov.zm,,,,NXDOMAIN,2025-12-13T13:30:01+02:00
